"logFC","AveExpr","t","P.Value","adj.P.Val","B","entrez_id","Gene.symbol","ensembl_id","Gene.title","gene_biotype","biotype_class"
2.49399143256358,10.5860220929556,16.9011049313249,1.92159929245794e-22,5.6862044663123e-18,40.8392556709945,972,"CD74","ENSG00000019582","CD74 molecule [Source:HGNC Symbol;Acc:HGNC:1697]","protein_coding","protein_coding"
9.01790615108547,6.26884700902524,15.6054724501439,5.7302524711643e-21,8.47819504371114e-17,35.6339787251893,219972,"MPEG1","ENSG00000197629","macrophage expressed 1 [Source:HGNC Symbol;Acc:HGNC:29619]","protein_coding","protein_coding"
4.67354612048801,7.49287945501361,14.8153389584793,4.9890717116808e-20,3.99614770976545e-16,35.255960353262,9709,"HERPUD1","ENSG00000051108","homocysteine inducible ER protein with ubiquitin like domain 1 [Source:HGNC Symbol;Acc:HGNC:13744]","protein_coding","protein_coding"
3.56406640961526,8.32132242511647,14.1794317648192,3.00491726922834e-19,1.77837013827471e-15,33.6108973585504,4261,"CIITA","ENSG00000179583","class II, major histocompatibility complex, transactivator [Source:HGNC Symbol;Acc:HGNC:7067]","protein_coding","protein_coding"
3.81457149623208,8.01742229615537,14.0904151046244,3.87881281176106e-19,1.91296583188036e-15,33.3433738895197,9695,"EDEM1","ENSG00000134109","ER degradation enhancing alpha-mannosidase like protein 1 [Source:HGNC Symbol;Acc:HGNC:18967]","protein_coding","protein_coding"
5.23319966473322,6.83515860165027,13.9264048674476,6.22409937354342e-19,2.30221655703154e-15,32.6459440373295,3587,"IL10RA","ENSG00000110324","interleukin 10 receptor subunit alpha [Source:HGNC Symbol;Acc:HGNC:5964]","protein_coding","protein_coding"
5.03290425709415,7.04395493916792,13.9468847286151,5.86613761936481e-19,2.30221655703154e-15,32.7659384866445,1880,"GPR183","ENSG00000169508","G protein-coupled receptor 183 [Source:HGNC Symbol;Acc:HGNC:3128]","protein_coding","protein_coding"
6.137030513329,6.3304082866728,13.8798261585975,7.12306617073822e-19,2.34198501175905e-15,32.2260953500938,3662,"IRF4","ENSG00000137265","interferon regulatory factor 4 [Source:HGNC Symbol;Acc:HGNC:6119]","protein_coding","protein_coding"
4.66938241101567,6.57048203784171,12.360481510115,6.74424077064604e-17,1.81426207858352e-13,28.1270708771586,10203,"CALCRL","ENSG00000064989","calcitonin receptor like receptor [Source:HGNC Symbol;Acc:HGNC:16709]","protein_coding","protein_coding"
4.31620427518196,6.76280234834632,12.2247944635099,1.02720687121138e-16,2.53300654383466e-13,27.7724590473839,3394,"IRF8","ENSG00000140968","interferon regulatory factor 8 [Source:HGNC Symbol;Acc:HGNC:5358]","protein_coding","protein_coding"
6.29353984934056,5.91059573996461,11.9442993197279,2.46978957372335e-16,5.62181102123443e-13,26.5334247910439,NA,"IGKC","ENSG00000211592","immunoglobulin kappa constant [Source:HGNC Symbol;Acc:HGNC:5716]","IG_C_gene","protein_coding"
6.12463962091421,5.46732935814291,11.7137229557731,5.1186677895649e-16,1.08190356115011e-12,25.736981100843,5802,"PTPRS","ENSG00000105426","protein tyrosine phosphatase, receptor type S [Source:HGNC Symbol;Acc:HGNC:9681]","protein_coding","protein_coding"
6.79118695492565,5.32173186015596,11.6032951144303,7.27423783755979e-16,1.43501314567488e-12,25.1933062484034,7357,"UGCG","ENSG00000148154","UDP-glucose ceramide glucosyltransferase [Source:HGNC Symbol;Acc:HGNC:12524]","protein_coding","protein_coding"
